lambda (nm);emission (cps)
704;141137.5
705;139582.5
706;137342.5
707;135345
708;133917.5
709;132410
710;131165
711;129235
712;128945
713;126410
714;125415
715;126142.5
716;124610
717;124085
718;123762.5
719;122892.5
720;121772.5
721;121857.5
722;121202.5
723;120897.5
724;118962.5
725;119260
726;119282.5
727;120370
728;119077.5
729;119295
730;118837.5
731;119747.5
732;119215
733;120015
734;121525
735;122090
736;122670
737;123227.5
738;122502.5
739;124702.5
740;124435
741;125920
742;126690
743;128062.5
744;128997.5
745;128807.5
746;130057.5
747;131580
748;132897.5
749;134145
750;135237.5
751;136440
752;137592.5
753;138950
754;139365
755;140512.5
756;142072.5
757;144005
758;145187.5
759;145300
760;145947.5
761;147957.5
762;149502.5
763;150062.5
764;151700
765;152660
766;153635
767;154180
768;155155
769;156767.5
770;157305
771;159770
772;159845
773;160732.5
774;160845
775;162252.5
776;163297.5
777;163422.5
778;165360
779;165965
780;166407.5
781;166175
782;166687.5
783;168045
784;168612.5
785;167645
786;168102.5
787;167765
788;168827.5
789;168782.5
790;168327.5
791;169307.5
792;168612.5
793;168465
794;168612.5
795;168025
796;167195
797;167132.5
798;166790
799;167242.5
800;166520
801;165975
802;163397.5
803;164850
804;163157.5
805;162492.5
806;161895
807;162102.5
808;160845
809;159932.5
810;160370
811;158190
812;157492.5
813;155760
814;155617.5
815;152847.5
816;152767.5
817;152460
818;150790
819;149170
820;147937.5
821;147280
822;144610
823;144027.5
824;141795
825;140105
826;140690
827;139292.5
828;137742.5
829;136330
830;133135
831;132897.5
832;131025
833;129350
834;128167.5
835;126242.5
836;124192.5
837;122660
838;121362.5
839;119520
840;117802.5
841;117580
842;114717.5
843;113180
844;112272.5
845;111252.5
846;107745
847;107967.5
848;105680
849;103487.5
850;101622.5
851;100852.5
852;98930
853;98382.5
854;96732.5
855;94192.5
856;93212.5
857;91430
858;89900
859;88162.5
860;86322.5
861;84977.5
862;84290
863;81855
864;81155
865;79922.5
866;78292.5
867;76435
868;74660
869;73362.5
870;72670
871;71287.5
872;68852.5
873;67420
874;66212.5
875;64600
876;63605
877;62092.5
878;60650
879;60442.5
880;57987.5
881;56412.5
882;54732.5
883;53667.5
884;52712.5
885;51237.5
886;50330
887;49622.5
888;47317.5
889;46147.5
890;45380
891;43902.5
892;43222.5
893;42172.5
894;41002.5
895;39842.5
896;38760
897;38580
898;37010
899;36120
900;35005
